 load, slew_d, slew_clk, process, voltage, temperature, skew_d, setup_skew, hold_skew, ckq_delay, D, Q, D_Q_comparision
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.000000,125.0,1e-11,4e-11,1.73e-10,0,1.000000e+00,6.889376e-05,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.000000,125.0,2e-11,3e-11,1.83e-10,0,1.000000e+00,6.898212e-05,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,0.0,-3e-11,8e-11,1.35e-10,5.761153e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,0.0,-2e-11,7e-11,1.45e-10,5.761265e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,0.0,-1e-11,6e-11,1.55e-10,5.760941e-11,1.400000e+00,1.400006e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,0.0,0.0,5e-11,1.65e-10,5.764716e-11,1.400000e+00,1.400002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,0.0,1e-11,4e-11,1.75e-10,5.763584e-11,1.400000e+00,1.400028e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,0.0,2e-11,3e-11,1.85e-10,5.806787e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,125.0,-3e-11,8e-11,1.35e-10,8.124225e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,125.0,-2e-11,7e-11,1.45e-10,8.125372e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,125.0,-1e-11,6e-11,1.55e-10,8.13122e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,125.0,0.0,5e-11,1.65e-10,8.168812e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,125.0,1e-11,4e-11,1.75e-10,8.312052e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ss,1.400000,125.0,2e-11,3e-11,1.85e-10,9.182232e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,0.0,-3e-11,8e-11,1.33e-10,7.907166e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,0.0,-2e-11,7e-11,1.43e-10,7.907471e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,0.0,-1e-11,6e-11,1.53e-10,7.908445e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,0.0,0.0,5e-11,1.63e-10,7.918402e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,0.0,1e-11,4e-11,1.73e-10,7.948521e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,0.0,2e-11,3e-11,1.83e-10,8.142776e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,125.0,-3e-11,8e-11,1.33e-10,1.2049e-10,1.000000e+00,9.999993e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,125.0,-2e-11,7e-11,1.43e-10,1.208688e-10,1.000000e+00,9.999993e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,125.0,-1e-11,6e-11,1.53e-10,1.218815e-10,1.000000e+00,9.999993e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,125.0,0.0,5e-11,1.63e-10,1.248363e-10,1.000000e+00,9.999993e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,125.0,1e-11,4e-11,1.73e-10,1.365876e-10,1.000000e+00,9.999993e-01,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.000000,125.0,2e-11,3e-11,1.83e-10,0,1.000000e+00,1.714124e-04,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,0.0,-3e-11,8e-11,1.35e-10,4.496958e-11,1.400000e+00,1.400004e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,0.0,-2e-11,7e-11,1.45e-10,4.497013e-11,1.400000e+00,1.400024e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,ff,1.400000,0.0,-1e-11,6e-11,1.55e-10,4.498105e-11,1.400000e+00,1.400025e+00,match 
